Biograf;By;Forestillingstidspunkt;Filmtitel;Filmgenre;Filmvarighed;Filminstruktør;Premieredato;Bookingmail;Bookingtelefonnummer
Nordisk Film;Århus;2019-10-04 13:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;duchamp@comcast.net;74221414
Cinemaxx;Odense;2019-12-01 19:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;whimsy@mac.com;56109141
Cinemaxx;Odense;2019-12-01 19:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;dgriffith@gmail.com;79763519
Cinemaxx;Odense;2019-12-01 19:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;tarreau@hotmail.com;28705227
Cinemaxx;Århus;2019-11-15 21:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;eurohack@icloud.com;69874494
Cinemaxx;Århus;2019-11-15 21:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;dieman@outlook.com;96565732
Nordisk Film;Odense;2019-11-15 21:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;suresh@live.com;93856726
Nordisk Film;Odense;2019-11-15 21:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;nacho@icloud.com;49086974
Nordisk Film;Odense;2019-12-23 15:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;tellis@aol.com;23863829
Nordisk Film;Århus;2019-12-23 15:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;drezet@yahoo.com;83762157
Nordisk Film;Århus;2019-12-23 15:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;kingjoshi@verizon.net;20455353
Cinemaxx;Odense;2019-04-05 19:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;hamilton@comcast.net;51493889
Cinemaxx;Odense;2019-01-01 21:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;miturria@comcast.net;61119486
Cinemaxx;Odense;2018-11-30 15:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;zeller@verizon.net;25745729
Cinemaxx;Århus;2019-04-05 19:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;grolschie@hotmail.com;55460510
Cinemaxx;Århus;2019-01-01 21:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;thurston@outlook.com;99816937
Nordisk Film;Odense;2018-11-30 15:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;lpalmer@outlook.com;86657804
Nordisk Film;Odense;2019-02-12 21:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;quantaman@icloud.com;66362819
Nordisk Film;Odense;2018-12-12 21:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;muadip@live.com;70059931
Nordisk Film;Århus;2018-12-26 19:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;airship@hotmail.com;34333098
Nordisk Film;Århus;2019-05-02 15:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;jshearer@yahoo.ca;89215942
Cinemaxx;Odense;2019-04-05 19:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;ahmad@live.com;23121126
Cinemaxx;Odense;2019-01-01 21:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;staffelb@hotmail.com;10374817
Cinemaxx;Odense;2018-12-21 15:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;temmink@live.com;17995916
Cinemaxx;Århus;2019-04-05 19:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;nimaclea@yahoo.ca;11734156
Cinemaxx;Århus;2019-01-01 21:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;danneng@me.com;78999927
Nordisk Film;Odense;2018-12-21 15:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;airship@mac.com;81203820
Nordisk Film;Odense;2019-02-12 21:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;zavadsky@hotmail.com;12163237
Nordisk Film;Odense;2018-12-26 21:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;jbryan@me.com;52270069
Nordisk Film;Århus;2018-12-26 19:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;dmouse@aol.com;62803725
Nordisk Film;Århus;2019-05-02 15:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;mfleming@me.com;17759965
Cinemaxx;Odense;2017-12-26 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;nimaclea@hotmail.com;99154371
Cinemaxx;Odense;2017-12-27 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;msroth@msn.com;88394675
Cinemaxx;Odense;2017-12-26 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;cderoove@optonline.net;47529304
Cinemaxx;Århus;2017-12-26 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;amimojo@me.com;18305746
Cinemaxx;Århus;2017-12-27 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;caidaperl@hotmail.com;84432262
Nordisk Film;Odense;2017-12-28 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;cmdrgravy@gmail.com;39234086
Nordisk Film;Odense;2017-12-26 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;novanet@optonline.net;17447521
Nordisk Film;Odense;2017-12-27 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;mhassel@hotmail.com;62246767
Nordisk Film;Århus;2017-12-28 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;mirod@outlook.com;94268291
Nordisk Film;Århus;2017-12-29 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;kronvold@comcast.net;99381136
Cinemaxx;Odense;2017-12-02 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;rupak@optonline.net;88958581
Cinemaxx;Odense;2017-12-03 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;ideguy@live.com;57857373
Cinemaxx;Odense;2017-12-04 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;tattooman@aol.com;22722611
Cinemaxx;Århus;2017-12-05 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;lydia@yahoo.ca;24003908
Cinemaxx;Århus;2017-12-06 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;jeteve@verizon.net;67962658
Nordisk Film;Odense;2017-12-07 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;fwiles@icloud.com;86796024
Nordisk Film;Odense;2017-12-08 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;gboss@optonline.net;55397707
Nordisk Film;Odense;2017-12-09 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;mcrawfor@icloud.com;98974761
Nordisk Film;Århus;2017-12-10 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;mwilson@outlook.com;36874444
Nordisk Film;Århus;2017-12-11 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;lridener@yahoo.com;56571001
